CombinID,Player,Position,Height,Date_birth,Nationality,Website_player,Website_picture
20209842,E. Rowland,Base,"1,88",18/05/1983,Alemania,http://www.acb.com/jugador/temporada-a-temporada/id/20209842,http://static.acb.com/img/29/5e/1a/145865pre5983.jpg
20200452,S. Vidal,Alero,"1,99",09/04/1981,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200452,http:/Images/Web/silueta2.gif
30000042,K. Anderson,Escolta,"1,88",03/06/1991,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000042,http://static.acb.com/img/2d/2c/43/145994pre5971.jpg
20212985,V. Bobrov,Ala-pivot,"2,03",19/09/1992,Ucrania,http://www.acb.com/jugador/temporada-a-temporada/id/20212985,http://static.acb.com/img/4e/35/5d/146387pre5932.jpg
20210585,F. Alonso,Escolta,"1,91",25/06/1996,España,http://www.acb.com/jugador/temporada-a-temporada/id/20210585,http://static.acb.com/img/a/11/12/291376pre35746.jpg
20211841,O. Ehigiator,Pivot,"2,06",30/10/1999,España,http://www.acb.com/jugador/temporada-a-temporada/id/20211841,http://static.acb.com/img/24/20/5e/285490pre35469.jpg
20213025,P. Gillet,Ala-pivot,"2,01",16/04/1991,Bélgica,http://www.acb.com/jugador/temporada-a-temporada/id/20213025,http://static.acb.com/img/54/4/60/146303pre5947.jpg
20210497,M. Garcia,Escolta,"1,97",07/03/1996,España,http://www.acb.com/jugador/temporada-a-temporada/id/20210497,http://static.acb.com/img/54/23/37/285190pre35496.jpg
20203835,C. Eyenga,Alero,"1,98",22/06/1989,Rep.DemocráticadelCongo,http://www.acb.com/jugador/temporada-a-temporada/id/20203835,http://static.acb.com/img/18/5e/43/284998pre35508.jpg
20212405,N. Sikiras,Ala-pivot,"2,05",11/04/1999,BosniaH.,http://www.acb.com/jugador/temporada-a-temporada/id/20212405,http://static.acb.com/img/51/2e/38/146180pre5959.jpg
30000044,D. Liggins,Alero,"1,98",31/03/1988,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000044,http://static.acb.com/img/30/4e/4c/145766pre5995.jpg
30000047,E. Mockevicius,Pivot,"2,08",01/09/1992,Lituania,http://www.acb.com/jugador/temporada-a-temporada/id/30000047,http://static.acb.com/img/1f/4f/19/145835pre5989.jpg
30000065,J. Tokoto,Alero,"1,96",15/09/1993,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000065,http://static.acb.com/img/3b/50/43/161172pre8144.jpg
30000064,E. Clark,Pivot,"2,08",17/01/1988,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000064,http://static.acb.com/img/23/3f/3e/160656pre8150.jpg
20212972,B. Fitipaldo,Base,"1,83",02/08/1991,Uruguay,http://www.acb.com/jugador/temporada-a-temporada/id/20212972,http://static.acb.com/img/50/6/33/284713pre34894.jpg
