Player,Country,Nationality,Position,Height,Date_birth,Website_player
J. Wiley,USA,Foreigner,Center,203,04/09/1994,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/30000004' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/30000004</a>
A. Balcerowski,Poland,Foreigner,Center,216,19/11/2000,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20212243' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20212243</a>
F. Ferrari,USA,Foreigner,Point guard,185,20/12/1995,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/30000022' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/30000022</a>
S. Okoye,USA,Foreigner,Small forward,198,10/04/1991,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20212966' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20212966</a>
A. Albicy,France,Foreigner,Point guard,178,21/03/1990,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20212190' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20212190</a>
A. Della Valle,Italy,Foreigner,Shooting guard,194,11/03/1993,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/30000284' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/30000284</a>
J. Kljajic,Montenegro,Foreigner,Shooting guard,195,11/09/2001,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20212462' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20212462</a>
J. Shurna,USA,Foreigner,Center,204,30/04/1990,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20210670' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20210670</a>
F. Santana,Spain,Spaniard,Point guard,190,09/06/1992,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20204130' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20204130</a>
B. Burjanadze,Georgia,Foreigner,Power forward,201,03/01/1994,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20204145' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20204145</a>
M. Costello,USA,Foreigner,Center,208,05/08/1993,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/30000032' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/30000032</a>
J. Beirán,Spain,Spaniard,Small forward,200,22/05/1987,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20201904' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20201904</a>
J. Zyskowski,Poland,Foreigner,Small forward,203,16/07/1992,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/30000300' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/30000300</a>
J. Rousselle,France,Foreigner,Point guard,192,07/02/1990,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/30000063' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/30000063</a>
J. Brown,USA,Foreigner,Shooting guard,183,11/09/1994,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/30000060' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/30000060</a>
T. Rigo,Spain,Spaniard,Shooting guard,193,08/05/1997,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20211649' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20211649</a>
A. Reyes,Spain,Spaniard,Small forward,202,17/12/1993,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20204133' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20204133</a>
O. Balvin,Czech Republic,Foreigner,Center,217,20/09/1992,<a href='http://www.acb.com/jugador/temporada-a-temporada/id/20204142' target='_blank'>http://www.acb.com/jugador/temporada-a-temporada/id/20204142</a>
